 An  Awful  Skate;  or,  The  Hobo  on  Rollers   | 1907 | Chicago,  Illinois,  USA | 41.8755616 | -87.6244212 
 Approach  to  Brooklands  by  Motor   | 1907 | Weybridge,  Surrey,  England,  UK | 51.3727175 | -0.4549297 
 Ascot  Sunday  at  Boulter's  Lock   | 1907 | Maidenhead,  Berkshire,  England,  UK | 51.40801045 | -1.2830416451909068 
 Ben  Hur   | 1907 | Sheepshead  Bay,  Brooklyn,  New  York  City,  New  York,  USA | 40.5912161 | -73.9445822 
 A  Smoked  Husband   | 1908 | West  12th  Street,  Manhattan,  New  York  City,  New  York,  USA | 40.7359773 | -73.9976754 
 A  Visit  to  Aldershot   | 1908 | Aldershot,  Hampshire,  England,  UK | 51.2494169 | -0.7630148 
 A  Woman's  Way   | 1908 | Coytesville,  New  Jersey,  USA | 40.8642665 | -73.9620823 
 A  Woman's  Way   | 1908 | Little  Falls,  New  Jersey,  USA | 40.8689882 | -74.2082011 
 Accidente  en  el  kilometro  253  del  ferrocarril  Mexico-Veracruz   | 1908 | Mexico | 22.5000485 | -100.0000375 
 After  Many  Years   | 1908 | Sea  Bright,  New  Jersey,  USA | 40.3615488 | -73.9742051 
 Ana�c  ou  Le  balafr�   | 1908 | (studio) | 52.2326368 | 21.0067376 
 Antos  pierwszy  raz  w  Warszawie   | 1908 | Warsaw,  Mazowieckie,  Poland | 52.2319581 | 21.0067249 
 Au  Maroc:  Tanger   | 1908 | Tangier,  Morocco | 35.777103 | -5.803792 
 Bear  Pits  of  Berne   | 1908 | Berne,  Switzerland | 46.9482713 | 7.4514512 
 Beneficio  de  Gaona   | 1908 | Mexico | 22.5000485 | -100.0000375 
 'L'Ibis',  �cole  de  p�che  en  Belgique   | 1909 | Belgium | 50.6402809 | 4.6667145 
 A  Baby's  Shoe   | 1909 | Central  Park,  Manhattan,  New  York  City,  New  York,  USA | 40.7827725 | -73.9653627406542 
 A  Birthday  Affair   | 1909 | Chicago,  Illinois,  USA | 41.8755616 | -87.6244212 
 A  Change  of  Heart   | 1909 | Greenwich,  Connecticut,  USA | 41.0264862 | -73.6284598 
 A  Florida  Feud:  or,  Love  in  the  Everglades   | 1909 | Jacksonville,  Florida,  USA | 30.3321838 | -81.655651 
 A  Mexican's  Gratitude   | 1909 | Golden,  Colorado,  USA | 39.755543 | -105.221099 
 A  Mexican's  Gratitude   | 1909 | Morrison,  Colorado,  USA | 39.6535988 | -105.1910996 
 A  Texas  Romance,  1909   | 1964 | Texas,  USA | 31.8160381 | -99.5120986 
 A  Trip  to  the  Wonderland  of  America   | 1909 | Yellowstone  National  Park,  Wyoming,  USA | 44.6200885 | -110.56075745943113 
 Agra,  ville  c�l�bre  du  Bengale   | 1909 | Agra,  Uttar  Pradesh,  India | 27.1752554 | 78.0098161 
 Al  Sr.  Bermudez  no  le  gustan  los  agentes   | 1909 | Mexico | 22.5000485 | -100.0000375 
 Antwerpen  en  Oostende   | 1909 | Antwerp,  Flanders,  Belgium | 51.2211097 | 4.3997081 
 Antwerpen  en  Oostende   | 1909 | Ostend,  Flanders,  Belgium | 51.2258565 | 2.919496 
 A  Central  American  Romance   | 1910 | Cuba | 23.0131338 | -80.8328748 
 A  Child's  Stratagem   | 1910 | Westfield,  New  Jersey,  USA | 40.6589912 | -74.3473717 
 A  Cowboy's  Vindication   | 1910 | Colorado,  USA | 38.7251776 | -105.607716 
 A  Day  in  the  Life  of  a  Coal  Miner   | 1910 | Wigan,  Lancashire,  England,  UK | 53.6087198 | -2.6318387 
 A  Lad  from  Old  Ireland   | 1910 | Beaufort,  County  Kerry,  Ireland | 52.07139385 | -9.637660239489584 
 A  Lad  from  Old  Ireland   | 1910 | County  Kerry,  Ireland | 52.14533445 | -9.517401092833236 
 A  Lad  from  Old  Ireland   | 1910 | New  York,  USA | 40.7127281 | -74.0060152 
 A  Mountain  Wife   | 1910 | San  Antonio,  Texas,  USA | 29.4246002 | -98.4951405 
 A  Trip  Over  the  Rocky  and  Selkirk  Mountains  in  Canada   | 1910 | Rocky  Mountains,  Alberta,  Canada | 50.4994522 | -114.7336579 
 A  Trip  in  the  Isle  of  Marken   | 1910 | Marken,  Noord-Holland,  Netherlands | 52.4578746 | 5.1068263 
 A  Vacation  in  Havana   | 1910 | Havana,  Cuba | 23.135305 | -82.3589631 
 $200.00   | 1911 | Santa  Paula,  California,  USA | 34.3541659 | -119.0592705 
 A  Cattle  Rustler's  Father   | 1911 | Lake  Tahoe,  California,  USA | 39.08854049999999 | -120.05035277301698 
 A  Cattle  Rustler's  Father   | 1911 | San  Rafael,  California,  USA | 37.9735346 | -122.5310874 
 A  Chance  Shot   | 1911 | Santa  Monica,  California,  USA | 34.0194704 | -118.4912273 
 A  Country  Cupid   | 1911 | Westfield,  New  Jersey,  USA | 40.6589912 | -74.3473717 
 A  Hot  Time  in  Atlantic  City   | 1911 | Atlantic  City,  New  Jersey,  USA | 39.3642852 | -74.4229351 
 A  Newsboy's  Luck   | 1911 | Philadelphia,  Pennsylvania,  USA | 39.9527237 | -75.1635262 
 A  Prisoner  of  Mexico   | 1911 | Glendale,  California,  USA | 34.1469416 | -118.2478471 
 A  Visit  to  the  Dome  of  the  Milan  Cathedral   | 1911 | Milan,  Italy | 45.4668 | 9.1905 
 A  Western  Girl   | 1911 | Santa  Paula,  California,  USA | 34.3541659 | -119.0592705 
 A  Western  Girl's  Sacrifice   | 1911 | San  Rafael,  California,  USA | 37.9735346 | -122.5310874 
 Alte  valli  dell'Umbria   | 1911 | Umbria,  Italy | 42.965916 | 12.490236 
 'Fighting'  Dan  McCool   | 1912 | Jacksonville,  Florida,  USA | 30.3321838 | -81.655651 
 A  Busy  Day  in  the  Jungle   | 1912 | Santa  Monica,  California,  USA | 34.0194704 | -118.4912273 
 A  Fifty-Mile  Auto  Contest   | 1912 | Lakeside,  California,  USA | 32.85041 | -116.89600133970856 
 A  Gay  Time  in  Jacksonville  Florida   | 1912 | Jacksonville,  Florida,  USA | 30.3321838 | -81.655651 
 A  Lodging  for  the  Night   | 1912 | California,  USA | 36.7014631 | -118.755997 
 A  Mardi  Gras  Mix-Up   | 1912 | New  Orleans,  Louisiana,  USA | 29.9499323 | -90.0701156 
 A  Mexican  Courtship   | 1912 | Juarez,  Mexico | 19.29348285 | -100.46459243844754 
 A  Midwinter  Night's  Dream   | 1912 | Palm  Beach,  Florida,  USA | 26.6279798 | -80.4494174 
 A  Midwinter  Night's  Dream   | 1912 | Philadelphia,  Pennsylvania,  USA | 39.9527237 | -75.1635262 
 A  Midwinter  Trip  to  Los  Angeles   | 1912 | Los  Angeles,  California,  USA | 34.0536909 | -118.242766 
 A  Ballad  of  the  South  Seas   | 1913 | Tahiti,  French  Polynesia | -17.68734395 | -149.44516811423745 
 A  Borrowed  Identity   | 1913 | Niles,  California,  USA | 37.5781679 | -121.9809177 
 A  Bandit   | 1913 | Los  Angeles,  California,  USA | 34.0536909 | -118.242766 
 A  Ballpoint  Story   | 2009 | Tucson,  Arizona,  USA | 32.2228765 | -110.9748477 
